FECHA, HORA, LATITUD, LONGITUD, SATELITES, PRECISION, AGE, TEMPERATURA_BMP, PRESION_BMP, ALTITUD_BMP, CO2, TVOC, HUMEDAD_DHT, TEMPERATURA_DHT, LUZ_TSL, LUZ_UV
25/1/2021, 11:6:5, 43.220657, -2.018839, 9, 140, 579, 22.77, 1003.69, 11.83, 400, 0, 45.30, 23.40, 1812, 0, 
25/1/2021, 11:6:24, 43.220634, -2.018853, 9, 140, 593, 22.76, 1003.67, 11.98, 408, 1, 45.40, 23.40, 1843, 5, 
25/1/2021, 11:6:43, 43.220631, -2.018782, 9, 111, 605, 22.76, 1003.68, 11.90, 400, 0, 45.30, 23.40, 1900, 1, 
25/1/2021, 11:7:2, 43.220634, -2.018804, 8, 140, 621, 22.78, 1003.68, 11.96, 400, 0, 45.40, 23.40, 1940, 1, 
25/1/2021, 11:7:21, 43.220650, -2.018743, 8, 140, 635, 22.78, 1003.65, 12.17, 415, 2, 45.10, 23.40, 1955, 1, 
25/1/2021, 11:7:40, 43.220684, -2.018643, 9, 112, 647, 22.80, 1003.69, 11.81, 407, 1, 45.20, 23.40, 1979, 5, 
25/1/2021, 11:7:59, 43.220711, -2.018542, 9, 100, 661, 22.79, 1003.64, 12.05, 407, 1, 45.30, 23.50, 2003, 0, 
25/1/2021, 11:8:19, 43.220753, -2.018471, 9, 100, 673, 22.81, 1003.69, 11.88, 415, 2, 45.20, 23.50, 2026, 5, 
25/1/2021, 11:8:38, 43.220741, -2.018438, 8, 117, 692, 22.81, 1003.69, 11.81, 424, 3, 45.00, 23.50, 2059, 0, 
25/1/2021, 11:8:57, 43.220695, -2.018386, 9, 113, 704, 22.79, 1003.69, 11.87, 448, 7, 45.10, 23.50, 2067, 0, 
25/1/2021, 11:9:16, 43.220673, -2.018368, 9, 113, 718, 22.74, 1003.66, 12.12, 444, 6, 45.20, 23.50, 2058, 5, 
25/1/2021, 11:9:35, 43.220665, -2.018360, 9, 110, 725, 22.72, 1003.68, 11.95, 421, 3, 45.10, 23.50, 2074, 0, 
25/1/2021, 11:9:54, 43.220673, -2.018363, 9, 118, 748, 22.76, 1003.71, 11.69, 415, 2, 45.10, 23.50, 2074, 1, 
25/1/2021, 11:10:13, 43.220646, -2.018365, 8, 145, 762, 22.78, 1003.72, 11.60, 424, 3, 45.20, 23.60, 2058, 1, 
25/1/2021, 11:10:32, 43.220661, -2.018341, 8, 107, 773, 22.76, 1003.70, 11.77, 421, 3, 45.40, 23.60, 2041, 1, 
25/1/2021, 11:10:51, 43.220680, -2.018386, 9, 108, 784, 22.76, 1003.70, 11.74, 415, 2, 45.50, 23.60, 2050, 4, 
25/1/2021, 11:11:10, 43.220703, -2.018403, 8, 114, 805, 22.77, 1003.70, 11.72, 421, 3, 45.40, 23.60, 2034, 6, 
25/1/2021, 11:11:29, 43.220718, -2.018474, 9, 114, 815, 22.77, 1003.71, 11.67, 411, 1, 45.10, 23.60, 2026, 1, 
25/1/2021, 11:11:48, 43.220715, -2.018470, 8, 120, 831, 22.81, 1003.72, 11.61, 424, 3, 45.10, 23.60, 2010, 0, 
25/1/2021, 11:12:7, 43.220715, -2.018464, 9, 115, 843, 22.82, 1003.74, 11.45, 411, 1, 45.00, 23.60, 2003, 1, 
25/1/2021, 11:12:26, 43.220741, -2.018482, 8, 111, 858, 22.83, 1003.72, 11.61, 411, 1, 44.70, 23.60, 1953, 1, 
25/1/2021, 11:12:45, 43.220737, -2.018498, 8, 115, 873, 22.84, 1003.73, 11.49, 407, 1, 45.00, 23.60, 1946, 7, 
25/1/2021, 11:13:4, 43.220722, -2.018493, 8, 106, 884, 22.85, 1003.75, 11.36, 411, 1, 44.80, 23.70, 1955, 2, 
25/1/2021, 11:13:23, 43.220749, -2.018513, 9, 102, 894, 22.88, 1003.69, 11.81, 421, 3, 44.90, 23.60, 1939, 2, 
25/1/2021, 11:13:42, 43.220734, -2.018524, 8, 111, 915, 22.89, 1003.77, 11.21, 405, 0, 44.80, 23.70, 1931, 0, 
25/1/2021, 11:14:1, 43.220760, -2.018538, 9, 103, 922, 22.91, 1003.74, 11.43, 400, 0, 44.90, 23.70, 1931, 4, 
25/1/2021, 11:14:20, 43.220764, -2.018550, 8, 107, 46, 22.91, 1003.74, 11.45, 434, 5, 44.90, 23.70, 1898, 2, 
25/1/2021, 11:14:39, 43.220749, -2.018596, 9, 117, 62, 22.90, 1003.71, 11.68, 415, 2, 44.70, 23.70, 1907, 1, 
25/1/2021, 11:14:58, 43.220764, -2.018620, 9, 117, 78, 22.87, 1003.76, 11.26, 424, 3, 44.60, 23.70, 1891, 1, 
25/1/2021, 11:15:17, 43.220753, -2.018555, 9, 117, 88, 22.88, 1003.78, 11.07, 428, 4, 44.70, 23.70, 1858, 1, 
25/1/2021, 11:15:36, 43.220745, -2.018467, 9, 117, 103, 22.86, 1003.81, 10.86, 411, 1, 44.50, 23.70, 1867, 6, 
25/1/2021, 11:15:55, 43.220753, -2.018510, 9, 120, 119, 22.88, 1003.83, 10.69, 407, 1, 44.60, 23.70, 1851, 1, 
25/1/2021, 11:16:14, 43.220768, -2.018475, 8, 118, 131, 22.89, 1003.80, 10.93, 421, 3, 44.50, 23.70, 1843, 1, 
25/1/2021, 11:16:33, 43.220783, -2.018464, 8, 124, 144, 22.89, 1003.82, 10.71, 428, 4, 44.70, 23.70, 1843, 4, 
25/1/2021, 11:16:52, 43.220768, -2.018451, 9, 119, 54, 22.89, 1003.80, 10.88, 411, 1, 44.60, 23.70, 1836, 1, 
25/1/2021, 11:17:11, 43.220779, -2.018433, 9, 125, 68, 22.90, 1003.83, 10.70, 400, 0, 44.70, 23.70, 1819, 5, 
25/1/2021, 11:17:30, 43.220764, -2.018412, 9, 111, 80, 22.90, 1003.84, 10.60, 425, 3, 44.50, 23.70, 1812, 1, 
25/1/2021, 11:17:49, 43.220737, -2.018354, 9, 125, 95, 22.91, 1003.80, 10.91, 416, 2, 44.50, 23.70, 1805, 7, 
25/1/2021, 11:18:8, 43.220737, -2.018362, 8, 114, 110, 22.92, 1003.85, 10.49, 405, 0, 44.40, 23.70, 1781, 4, 
25/1/2021, 11:18:27, 43.220745, -2.018383, 9, 114, 124, 22.91, 1003.88, 10.21, 409, 1, 44.60, 23.70, 1748, 1, 
25/1/2021, 11:18:46, 43.220814, -2.018414, 9, 105, 123, 22.90, 1003.88, 10.24, 405, 0, 44.50, 23.70, 1724, 0, 
25/1/2021, 11:19:5, 43.220837, -2.018408, 9, 110, 147, 22.91, 1003.86, 10.45, 416, 2, 44.40, 23.70, 1717, 0, 
25/1/2021, 11:19:24, 43.220795, -2.018413, 9, 111, 164, 22.90, 1003.87, 10.30, 409, 1, 44.50, 23.70, 1726, 1, 
25/1/2021, 11:19:43, 43.220737, -2.018362, 9, 125, 181, 22.92, 1003.88, 10.26, 408, 1, 44.30, 23.70, 1693, 1, 
25/1/2021, 11:20:2, 43.220737, -2.018369, 9, 116, 190, 22.94, 1003.89, 10.19, 408, 1, 44.40, 23.70, 1702, 5, 
25/1/2021, 11:20:21, 43.220730, -2.018353, 8, 111, 208, 22.93, 1003.86, 10.41, 408, 1, 44.40, 23.70, 1669, 0, 
25/1/2021, 11:20:40, 43.220680, -2.018364, 9, 116, 218, 22.92, 1003.89, 10.14, 420, 3, 44.40, 23.70, 1678, 1, 
25/1/2021, 11:20:59, 43.220730, -2.018461, 8, 190, 242, 22.90, 1003.92, 9.88, 408, 1, 44.40, 23.70, 1661, 0, 
25/1/2021, 11:21:18, 43.220757, -2.018541, 8, 133, 253, 22.90, 1003.92, 9.91, 424, 3, 44.40, 23.70, 1671, 1, 
25/1/2021, 11:21:37, 43.220776, -2.018694, 7, 153, 267, 22.93, 1003.95, 9.62, 420, 3, 44.50, 23.70, 1638, 0, 
25/1/2021, 11:21:56, 43.220848, -2.018808, 7, 140, 281, 22.94, 1003.97, 9.53, 408, 1, 44.30, 23.70, 1630, 4, 
25/1/2021, 11:22:15, 43.220913, -2.018615, 9, 109, 287, 22.93, 1003.95, 9.62, 405, 0, 44.40, 23.70, 1639, 6, 
25/1/2021, 11:22:34, 43.220936, -2.018512, 9, 112, 296, 22.95, 1003.97, 9.51, 417, 2, 44.50, 23.70, 1632, 5, 
25/1/2021, 11:22:53, 43.220764, -2.018455, 9, 116, 319, 22.95, 1003.98, 9.42, 420, 3, 44.30, 23.70, 1608, 6, 
25/1/2021, 11:23:12, 43.220745, -2.018410, 7, 124, 336, 22.97, 1003.98, 9.40, 405, 0, 44.40, 23.70, 1584, 6, 
25/1/2021, 11:23:31, 43.220768, -2.018416, 8, 119, 346, 22.96, 1003.97, 9.51, 417, 2, 44.50, 23.70, 1560, 6, 
25/1/2021, 11:23:50, 43.220768, -2.018390, 9, 107, 357, 22.94, 1003.97, 9.46, 405, 0, 44.40, 23.70, 1537, 1, 
25/1/2021, 11:24:9, 43.220760, -2.018395, 9, 126, 376, 22.95, 1004.01, 9.14, 408, 1, 44.40, 23.70, 1513, 1, 
25/1/2021, 11:24:28, 43.220753, -2.018411, 8, 141, 389, 22.95, 1004.02, 9.06, 408, 1, 44.40, 23.70, 1514, 6, 
25/1/2021, 11:24:47, 43.220848, -2.018459, 9, 127, 402, 22.93, 1004.03, 9.02, 400, 0, 44.40, 23.70, 1490, 1, 
25/1/2021, 11:25:6, 43.220760, -2.018558, 9, 134, 416, 22.96, 1004.04, 8.89, 416, 2, 44.40, 23.60, 1467, 4, 
