FECHA, HORA, LATITUD, LONGITUD, SATELITES, PRECISION, AGE, TEMPERATURA_BMP, PRESION_BMP, ALTITUD_BMP, CO2, TVOC, HUMEDAD_DHT, TEMPERATURA_DHT, LUZ_TSL, LUZ_UV
26/1/2021, 12:14:15, 43.220577, -2.017618, 10, 96, 235, 12.38, 1015.67, -88.36, 543, 21, 64.20, 12.50, 23780, 0
26/1/2021, 12:14:34, 43.220577, -2.017617, 10, 96, 241, 12.32, 1015.70, -88.59, 537, 20, 64.30, 12.40, 22534, 1
26/1/2021, 12:14:53, 43.220573, -2.017613, 10, 96, 253, 12.52, 1015.70, -88.62, 543, 21, 62.60, 12.40, 21644, 0
26/1/2021, 12:15:12, 43.220570, -2.017616, 10, 96, 267, 12.50, 1015.72, -88.75, 534, 20, 67.20, 12.40, 21041, 0
26/1/2021, 12:15:31, 43.220573, -2.017625, 10, 96, 278, 12.50, 1015.67, -88.37, 530, 19, 65.00, 12.30, 20652, 1
26/1/2021, 12:15:50, 43.220577, -2.017623, 9, 96, 291, 12.40, 1015.69, -88.51, 518, 17, 66.30, 12.10, 20368, 1
26/1/2021, 12:16:9, 43.220577, -2.017615, 9, 96, 303, 12.17, 1015.67, -88.32, 497, 14, 63.80, 11.90, 19761, 0
26/1/2021, 12:16:28, 43.220577, -2.017615, 9, 103, 313, 12.18, 1015.61, -87.80, 501, 15, 63.40, 11.70, 19187, 0
26/1/2021, 12:16:47, 43.220573, -2.017622, 9, 96, 326, 12.05, 1015.66, -88.27, 503, 15, 64.40, 11.70, 18955, 0
26/1/2021, 12:17:6, 43.220558, -2.017620, 8, 103, 339, 12.00, 1015.68, -88.42, 524, 18, 66.70, 11.40, 18913, 1
26/1/2021, 12:17:25, 43.220558, -2.017624, 9, 95, 345, 11.81, 1015.60, -87.80, 543, 21, 66.10, 11.40, 18847, 0
26/1/2021, 12:17:44, 43.220558, -2.017618, 10, 88, 354, 12.04, 1015.65, -88.18, 530, 19, 65.10, 11.60, 18975, 0
26/1/2021, 12:18:3, 43.220566, -2.017623, 9, 96, 352, 11.92, 1015.60, -87.78, 514, 17, 67.10, 11.60, 18981, 1
26/1/2021, 12:18:22, 43.220558, -2.017621, 9, 95, 379, 11.88, 1015.66, -88.29, 518, 17, 64.20, 11.70, 19306, 0
26/1/2021, 12:18:41, 43.220554, -2.017616, 10, 88, 386, 12.04, 1015.63, -87.97, 537, 20, 66.90, 11.80, 19852, 1
26/1/2021, 12:19:0, 43.220558, -2.017619, 10, 88, 398, 12.12, 1015.58, -87.58, 534, 20, 65.00, 11.80, 20208, 0
26/1/2021, 12:19:19, 43.220554, -2.017614, 10, 88, 407, 12.28, 1015.57, -87.52, 530, 19, 64.40, 12.00, 20533, 1
26/1/2021, 12:19:38, 43.220566, -2.017617, 10, 88, 418, 12.38, 1015.62, -87.90, 524, 18, 63.90, 11.90, 20531, 0
26/1/2021, 12:19:57, 43.220566, -2.017623, 10, 107, 433, 12.50, 1015.55, -87.32, 537, 20, 66.20, 11.90, 20607, 1
26/1/2021, 12:20:16, 43.220570, -2.017620, 10, 94, 442, 12.61, 1015.57, -87.50, 530, 19, 66.50, 11.90, 21036, 0
26/1/2021, 12:20:35, 43.220570, -2.017625, 10, 94, 455, 12.53, 1015.66, -88.24, 534, 20, 64.30, 11.80, 21531, 0
